Timestamp,Epoch,Avg_Reward,Avg_Reversal,Num_Eval_Episodes
2025-03-24 03:07:05,1300,31.85,22.05,20
2025-03-24 03:08:13,1310,32.25,21.95,20
2025-03-24 03:09:21,1320,32.75,21.75,20
2025-03-24 03:10:30,1330,32.15,21.95,20
2025-03-24 03:11:38,1340,31.25,22.25,20
2025-03-24 03:12:46,1350,30.35,22.55,20
2025-03-24 03:13:54,1360,32.85,21.75,20
2025-03-24 03:15:02,1370,31.85,22.05,20
2025-03-24 03:16:11,1380,32.0,22.0,20
2025-03-24 03:17:20,1390,30.5,22.5,20
2025-03-24 03:18:28,1400,32.0,22.0,20
2025-03-24 03:19:37,1410,32.75,21.75,20
2025-03-24 03:20:46,1420,30.05,22.65,20
2025-03-24 03:21:55,1430,31.85,22.05,20
2025-03-24 03:23:04,1440,31.85,22.05,20
2025-03-24 03:24:12,1450,29.6,22.8,20
2025-03-24 03:25:21,1460,30.2,22.6,20
2025-03-24 03:26:30,1470,31.4,22.2,20
2025-03-24 03:27:38,1480,30.65,22.45,20
2025-03-24 03:28:46,1490,31.05,22.35,20
2025-03-24 03:29:54,1500,30.15,22.65,20
2025-03-24 03:31:03,1510,30.2,22.6,20
2025-03-24 03:32:11,1520,30.55,22.55,20
2025-03-24 03:33:19,1530,30.35,22.55,20
2025-03-24 03:34:28,1540,30.5,22.5,20
2025-03-24 03:35:36,1550,31.4,22.2,20
2025-03-24 03:36:44,1560,29.75,22.75,20
2025-03-24 03:37:52,1570,30.8,22.4,20
2025-03-24 03:39:00,1580,31.8,22.1,20
2025-03-24 03:40:09,1590,31.85,22.05,20
2025-03-24 03:41:18,1600,30.5,22.5,20
2025-03-24 03:42:27,1610,30.9,22.4,20
2025-03-24 03:43:36,1620,30.65,22.45,20
2025-03-24 03:44:46,1630,29.9,22.7,20
2025-03-24 03:45:55,1640,31.2,22.3,20
2025-03-24 03:47:03,1650,31.25,22.25,20
2025-03-24 03:48:12,1660,30.2,22.6,20
2025-03-24 03:49:21,1670,30.95,22.35,20
2025-03-24 03:50:29,1680,31.1,22.3,20
2025-03-24 03:51:38,1690,30.05,22.65,20
2025-03-24 03:52:46,1700,32.3,21.9,20
2025-03-24 03:53:54,1710,31.1,22.3,20
2025-03-24 03:55:02,1720,32.1,22.0,20
2025-03-24 03:56:10,1730,29.75,22.75,20
2025-03-24 03:57:19,1740,31.1,22.3,20
2025-03-24 03:58:34,1750,31.1,22.3,20
2025-03-24 03:59:43,1760,31.85,22.05,20
2025-03-24 04:00:51,1770,31.7,22.1,20
2025-03-24 04:02:00,1780,29.7,22.8,20
2025-03-24 04:03:09,1790,30.5,22.5,20
2025-03-24 04:04:20,1800,31.25,22.25,20
2025-03-24 04:05:28,1810,29.9,22.7,20
2025-03-24 04:06:42,1820,30.2,22.6,20
2025-03-24 04:08:01,1830,31.35,22.25,20
2025-03-24 04:09:21,1840,32.85,21.75,20
2025-03-24 04:10:39,1850,31.7,22.1,20
2025-03-24 04:11:58,1860,31.4,22.2,20
2025-03-24 04:13:15,1870,31.55,22.15,20
2025-03-24 04:14:32,1880,30.65,22.45,20
2025-03-24 04:15:48,1890,30.8,22.4,20
2025-03-24 04:17:04,1900,30.65,22.45,20
2025-03-24 04:18:21,1910,30.95,22.35,20
2025-03-24 04:19:38,1920,31.55,22.15,20
2025-03-24 04:20:54,1930,31.1,22.3,20
2025-03-24 04:22:11,1940,32.0,22.0,20
2025-03-24 04:23:27,1950,32.75,21.75,20
2025-03-24 04:24:43,1960,31.25,22.25,20
2025-03-24 04:26:03,1970,30.6,22.5,20
2025-03-24 04:27:20,1980,32.15,21.95,20
2025-03-24 04:28:31,1990,31.15,22.35,20
2025-03-24 04:29:38,2000,31.7,22.1,20
2025-03-24 04:30:46,2010,31.4,22.2,20
2025-03-24 04:31:53,2020,31.35,22.25,20
2025-03-24 04:33:00,2030,31.2,22.3,20
2025-03-24 04:34:08,2040,32.9,21.7,20
2025-03-24 04:35:15,2050,30.85,22.45,20
2025-03-24 04:36:23,2060,31.1,22.3,20
2025-03-24 04:37:30,2070,31.1,22.3,20
2025-03-24 04:38:38,2080,31.4,22.2,20
2025-03-24 04:39:44,2090,30.35,22.55,20
2025-03-24 04:40:52,2100,32.15,21.95,20
2025-03-24 04:41:59,2110,33.35,21.55,20
2025-03-24 04:43:06,2120,32.6,21.8,20
2025-03-24 04:44:13,2130,31.1,22.3,20
2025-03-24 04:45:19,2140,31.4,22.2,20
2025-03-24 04:46:26,2150,32.3,21.9,20
2025-03-24 04:47:33,2160,30.6,22.5,20
2025-03-24 04:48:40,2170,31.7,22.1,20
2025-03-24 04:49:47,2180,31.4,22.2,20
2025-03-24 04:50:53,2190,30.0,22.7,20
2025-03-24 04:52:00,2200,30.65,22.45,20
2025-03-24 04:53:07,2210,32.3,21.9,20
2025-03-24 04:54:14,2220,29.6,22.8,20
2025-03-24 04:55:21,2230,30.05,22.65,20
2025-03-24 04:56:28,2240,31.55,22.15,20
2025-03-24 04:57:34,2250,32.75,21.75,20
2025-03-24 04:58:41,2260,30.65,22.45,20
2025-03-24 04:59:48,2270,31.35,22.25,20
2025-03-24 05:00:56,2280,29.9,22.7,20
2025-03-24 05:02:03,2290,31.85,22.05,20
2025-03-24 05:03:10,2300,30.8,22.4,20
2025-03-24 05:04:18,2310,31.5,22.2,20
2025-03-24 05:05:25,2320,30.75,22.45,20
2025-03-24 05:06:32,2330,29.9,22.7,20
2025-03-24 05:07:39,2340,31.1,22.3,20
2025-03-24 05:08:45,2350,30.5,22.5,20
2025-03-24 05:09:52,2360,32.3,21.9,20
2025-03-24 05:10:59,2370,30.8,22.4,20
2025-03-24 05:12:05,2380,33.0,21.7,20
2025-03-24 05:13:11,2390,30.95,22.35,20
2025-03-24 05:14:17,2400,30.6,22.5,20
2025-03-24 05:15:24,2410,31.85,22.05,20
2025-03-24 05:16:31,2420,31.4,22.2,20
2025-03-24 05:17:37,2430,30.8,22.4,20
2025-03-24 05:18:44,2440,30.3,22.6,20
2025-03-24 05:19:51,2450,32.75,21.75,20
2025-03-24 05:20:57,2460,30.5,22.5,20
2025-03-24 05:22:04,2470,30.2,22.6,20
2025-03-24 05:23:10,2480,30.35,22.55,20
2025-03-24 05:24:17,2490,30.2,22.6,20
2025-03-24 05:25:25,2500,30.8,22.4,20
2025-03-24 05:26:32,2510,31.05,22.35,20
2025-03-24 05:27:40,2520,30.2,22.6,20
2025-03-24 05:28:47,2530,30.8,22.4,20
2025-03-24 05:29:54,2540,31.85,22.05,20
2025-03-24 05:31:01,2550,31.4,22.2,20
2025-03-24 05:32:07,2560,31.7,22.1,20
2025-03-24 05:33:14,2570,30.35,22.55,20
2025-03-24 05:34:23,2580,30.05,22.65,20
2025-03-24 05:35:30,2590,31.1,22.3,20
2025-03-24 05:36:37,2600,32.6,21.8,20
2025-03-24 05:37:44,2610,32.25,21.95,20
2025-03-24 05:38:50,2620,31.55,22.15,20
2025-03-24 05:39:56,2630,30.5,22.5,20
2025-03-24 05:41:03,2640,32.25,21.95,20
2025-03-24 05:42:10,2650,30.45,22.55,20
2025-03-24 05:43:17,2660,30.45,22.55,20
2025-03-24 05:44:24,2670,30.95,22.35,20
2025-03-24 05:45:30,2680,30.45,22.55,20
2025-03-24 05:46:37,2690,30.5,22.5,20
2025-03-24 05:47:44,2700,32.1,22.0,20
2025-03-24 05:48:51,2710,33.0,21.7,20
2025-03-24 05:49:58,2720,31.4,22.2,20
2025-03-24 05:51:05,2730,31.4,22.2,20
2025-03-24 05:52:13,2740,30.65,22.45,20
2025-03-24 05:53:23,2750,31.25,22.25,20
2025-03-24 05:54:30,2760,31.5,22.2,20
2025-03-24 05:55:36,2770,31.25,22.25,20
2025-03-24 05:56:42,2780,31.7,22.1,20
2025-03-24 05:57:49,2790,32.15,21.95,20
2025-03-24 05:58:55,2800,31.8,22.1,20
2025-03-24 06:00:01,2810,32.3,21.9,20
2025-03-24 06:01:08,2820,30.2,22.6,20
2025-03-24 06:02:14,2830,30.95,22.35,20
2025-03-24 06:03:22,2840,30.8,22.4,20
2025-03-24 06:04:30,2850,29.85,22.75,20
2025-03-24 06:05:35,2860,30.65,22.45,20
2025-03-24 06:06:41,2870,30.65,22.45,20
2025-03-24 06:07:47,2880,33.35,21.55,20
2025-03-24 06:08:53,2890,31.7,22.1,20
2025-03-24 06:10:00,2900,30.35,22.55,20
2025-03-24 06:11:06,2910,29.6,22.8,20
2025-03-24 06:12:11,2920,29.75,22.75,20
